Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.024s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	7.47	6.88	6.57	0.60	0.00	1.45	0.00	0.08	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.37	0.41	0.00	0.12
3.00	7.50	6.90	6.59	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.99	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92
4.00	7.50	6.90	6.61	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	2.70
5.00	7.50	6.90	6.59	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.98	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	7.50	6.90	6.61	0.00	0.00	0.88	0.00	0.13	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00
7.00	7.50	6.90	6.59	0.00	0.15	1.01	0.00	0.00	3.07	0.00	0.00	0.47	0.00	1.40	0.00	0.00	0.00	0.00	0.04	0.12	0.00	0.00
8.00	7.50	6.90	6.61	0.00	0.00	1.18	0.00	0.00	0.00	0.88	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00
9.00	7.50	6.90	6.59	1.81	0.00	0.66	0.06	0.00	2.39	0.67	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.59	0.00
10.00	7.49	6.90	6.61	1.33	0.00	0.16	0.00	0.00	0.48	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.66	0.22
11.00	7.50	6.90	6.59	0.00	0.00	0.00	1.37	0.00	1.42	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86
