Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.178s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	6.25	6.26	0.00	0.38	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00
3.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.40	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00
4.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
5.00	6.30	6.30	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.04	0.44	0.00	0.00
6.00	6.30	6.30	0.00	0.00	0.00	0.07	0.00	0.00	0.16	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.16	0.00	0.77	0.00	0.00	0.00
7.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.09	0.00	1.06	0.66	0.00	0.00
8.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.05	0.00	0.00	0.26	0.80	0.00	0.00
9.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	2.38	0.00	0.00	0.19	0.00	0.00	0.64	0.61	0.00	0.00
10.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.21	0.00	1.11	1.01	0.00	0.00
11.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.37	1.06	0.00	0.00
12.00	6.30	6.30	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.38	0.33	0.00	0.00
13.00	6.30	6.30	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.06	0.00	0.00	0.00	0.00	0.24	0.00	0.35	0.57	0.00	0.05
14.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.57	0.49	0.00	0.00
15.00	6.30	6.30	0.00	0.00	0.00	0.19	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.49	0.00	0.00	0.13	0.00	0.75	0.94	0.00	0.00
16.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.09	0.00	0.94	0.85	0.00	0.00
17.00	6.30	6.30	0.02	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	1.26	0.00	1.54	0.00	0.00	0.00	0.00	1.15	0.75	0.00	0.09
18.00	6.30	6.30	0.00	0.00	0.00	0.02	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	1.10	0.00	0.00
19.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.84	0.00	0.00
20.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	1.15	0.85	0.00	0.00
21.00	6.30	6.30	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.31	0.00	1.51	0.00	0.00	0.54	1.25	2.85	0.00	0.00	0.12	0.00	0.57	0.78	0.00	0.00
22.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.49	0.22	0.00	0.07	0.00	0.09	0.00	0.71	0.35	0.00	0.00
23.00	6.30	6.30	0.00	0.47	0.00	0.07	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.73	0.75	0.00	0.00
24.00	6.30	6.30	0.00	1.40	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.49	0.79	0.00	0.00	0.00	0.26	0.00	0.95	1.01	0.00	0.00
25.00	6.30	6.30	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.99	0.00	0.00	0.07	0.00	0.59	0.88	0.00	0.00
26.00	6.30	6.30	0.00	0.98	0.00	0.40	0.00	0.00	0.00	0.01	0.16	0.20	0.00	0.00	0.01	0.05	0.26	0.11	0.00	0.16	0.00	0.00	1.14	0.00	0.00
27.00	6.30	6.30	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.42	0.00	0.04	1.18	0.00	0.00
28.00	6.30	6.30	0.09	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.15	0.00	0.00	0.05	0.00	0.00	0.87	0.00	0.08
29.00	6.30	6.30	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	1.66	1.34	0.00	0.00
30.00	6.30	6.30	0.14	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.21	0.00	0.00	0.00	0.42	0.00	0.25	0.80	0.00	0.20
31.00	6.30	6.30	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00
32.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00
33.00	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00
34.00	6.30	6.30	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	1.70	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00
